dob,gn,fn,fn_original,ln,surname_original
01/03/68,F,WILLIAM,WILLIAM,SMITH JR,SMITH
01/03/68,F,WILLIAM,WILLIAM,ROTHMEYER JR,ROTHMEYER
01/03/68,F,WILLIAM,WILLIAM,ASBY JR,ASBY
01/03/68,F,WILLIAM,WILLIAM,SALTER JR,SALTER
21/02/62,F,WILLIAM,WILLIAM,BLAND JR,BLAND
21/02/62,F,WILLIAM,WILLIAM,SHAFFER JR,SHAFFER
21/02/62,F,BILL,BILL,BLAND JR,BLAND
08/06/54,F,WILLIAM,WILLIAM,BLAND JR,BLAND
25/10/53,F,WILLIAM,WILLIAM,BLAND JR,BLAND
25/10/53,F,WILLIAM,WILLIAM,SHAFFER JR,SHAFFER
25/10/53,F,THOMAS,THOMAS,DUNCAN JR,DUNCAN
25/10/53,F,ROY,ROY,CARLSON JR,CARLSON
25/10/53,F,RON,RON,CARLSON JR,CARLSON
25/10/53,F,ROY,ROY,DUNCAN JR,DUNCAN
25/10/53,M,ROY,ROY,MICHAELSON,MICHAELSON
01/05/51,M,ROY,ROY,MICHAELSON JR,MICHAELSON
17/06/48,M,ROY,ROY,MICHAELSON JR,MICHAELSON
09/04/47,M,ROY,ROY,MICHAELSON JR,MICHAELSON
09/04/47,M,ROBERT,ROBERT,MICHAELSON JR,MICHAELSON
09/04/47,M,BOB,BOB,MICHAELSON JR,MICHAELSON
11/03/47,M,OWEN,OWEN,MUSTAPHA JR,MUSTAPHA
11/03/47,M,OWAN,OWAN,MUSTAPHA JR,MUSTAPHA
31/01/46,M,LAWRENCE,LAWRENCE,HOUGHTON JR,HOUGHTON
31/01/46,M,LAWRENCE,LAWRENCE,LIND JR,LIND
31/01/46,M,KENNETH,KENNETH,LIND JR,LIND
20/01/46,M,JOHN,JOHN,LIND JR,LIND
20/01/46,M,JOHN,JOHN,CAIN JR,CAIN
09/06/45,M,JOHN,JOHN,CLARK,CLARK
09/02/45,M,RONALD,RONALD,CLARK,CLARK
09/02/45,M,DONALD,DONALD,CLARK,CLARK
16/12/44,M,JOHN,JOHN,CLARK,CLARK
16/12/44,M,JOHN,JOHN,MICHAELSON JR,MICHAELSON
24/04/40,M,JOHN,JOHN,MICHAELSON JR,MICHAELSON
24/06/39,M,JOHN,JOHN,MICHAELSON JR,MICHAELSON
24/06/39,M,JAMES,JAMES,MICHAELSON JR,MICHAELSON
24/06/39,M,JACK,JACK,MICHAELSON JR,MICHAELSON
09/06/39,M,JACK,JACK,MICHAELSON JR,MICHAELSON
09/06/39,M,HAROLD,HAROLD,LARSON JR,LARSON
07/10/37,M,HAROLD,HAROLD,MUSTAPHA JR,MUSTAPHA
07/10/37,M,HAROLD,HAROLD,HOUGHTON JR,HOUGHTON
07/10/37,M,HAROLD,HAROLD,MELVIN JR,MELVIN
07/10/37,M,HAROLD,HAROLD,CHAVAS JR,CHAVAS
07/10/37,M,HAROLD,HAROLD,MICHAELSON JR,MICHAELSON
07/10/37,M,HAROLD,HAROLD,SMITH JR,SMITH
07/10/37,M,HAROLD,HAROLD,FAGEN JR,FAGEN
07/10/37,M,GEORGE,GEORGE,FAGEN JR,FAGEN
07/10/37,M,DARH,DARH,GRIFFIN JR,GRIFFIN
10/07/37,M,DARL,DARL,GRIFFIN JR,GRIFFIN
07/05/37,M,DARL,DARL,GRIFFIN JR,GRIFFIN
07/05/37,M,CLIFFORD,CLIFFORD,GRIFFIN JR,GRIFFIN
07/05/37,M,CLARENCE,CLARENCE,GRIFFIN JR,GRIFFIN
24/11/34,M,ADDISON J,ADDISON,HANNA,HANNA
15/10/32,M,ADDISON,ADDISON,GALETICH JR,GALETICH
06/12/37,F,HARRIET,HARRIET,FUNARO JONES,FUNARO
